Date,Open,High,Low,Close,Adj Close,Volume
2022-10-06,44.250000,44.645000,43.480000,43.634998,40.791615,2506012
2022-10-07,43.404999,44.169998,43.160000,43.615002,40.772923,2734191
2022-10-10,43.130001,44.240002,43.060001,43.785000,40.931843,2617328
2022-10-11,43.215000,43.235001,42.305000,42.764999,39.978310,2782908
2022-10-12,42.555000,42.555000,41.525002,42.345001,39.585678,2914797
2022-10-13,41.779999,43.700001,41.700001,43.439999,40.609322,4126814
2022-10-14,44.500000,44.955002,43.884998,44.060001,41.188923,3511718
2022-10-17,44.459999,45.820000,44.310001,45.380001,42.422909,2828882
2022-10-18,45.919998,46.865002,45.564999,46.169998,43.161427,3058586
2022-10-19,46.395000,46.615002,45.619999,45.915001,42.923046,2237308
2022-10-20,45.705002,46.630001,45.544998,46.395000,43.371769,2184488
2022-10-21,46.055000,46.505001,45.480000,46.380001,43.357746,2530135
2022-10-24,46.674999,47.465000,46.404999,46.965000,43.904625,2552287
2022-10-25,47.195000,47.544998,46.415001,47.334999,44.250515,2209328
2022-10-26,47.445000,47.650002,47.029999,47.230000,44.152355,2184367
2022-10-27,47.235001,47.709999,46.470001,47.400002,44.311279,3169911
2022-10-28,46.965000,47.419998,46.435001,47.285000,44.203773,2262537
2022-10-31,47.299999,47.730000,47.060001,47.494999,44.400085,1832430
2022-11-01,47.945000,48.740002,47.735001,47.840000,44.722607,2333452
2022-11-02,48.290001,48.525002,47.610001,47.880001,44.760002,2352678
2022-11-03,48.099998,49.439999,47.680000,49.384998,46.166927,3910416
2022-11-04,49.849998,51.080002,49.439999,50.630001,47.330803,4682120
2022-11-07,50.299999,51.299999,49.950001,50.689999,47.386890,2305872
2022-11-08,50.279999,50.900002,50.200001,50.689999,47.386890,1674044
